geometry,composition,function,structure
POINT (18.81512499999779 -33.808374999996026),0.19312933087348938,1069,0
POINT (18.46837499999783 -33.793374999996026),0.8083610534667969,1518,8
POINT (18.406624999997838 -33.248374999996095),0.1530725359916687,649,0
POINT (18.55737499999782 -33.744874999996036),0.19352786242961884,835,2
POINT (18.62337499999781 -33.63187499999605),0.13951753079891205,842,0
POINT (18.699124999997803 -33.264624999996094),0.12875677645206451,731,0
POINT (18.844874999997785 -33.889624999996016),0.4879869818687439,993,0
POINT (18.49237499999783 -33.27262499999609),0.2859080135822296,645,0
POINT (18.611374999997814 -33.465624999996066),0.17937128245830536,986,2
POINT (18.81662499999779 -33.60087499999605),0.9915000200271606,1867,8
POINT (18.81037499999779 -33.800624999996025),0.19312933087348938,948,0
POINT (18.57362499999782 -33.85912499999602),0.19936589896678925,1154,5
POINT (18.770374999997795 -33.44512499999607),0.1249229833483696,782,0
POINT (18.81187499999779 -33.37312499999608),0.13422083854675293,908,3
POINT (18.38687499999784 -34.09562499999599),0.7964835166931152,2111,9
POINT (18.607874999997815 -33.87287499999602),0.18892769515514374,1571,12
POINT (18.610624999997814 -33.456624999996066),0.41585010290145874,1352,1
POINT (18.52887499999782 -33.68962499999604),0.13118894398212433,1027,0
POINT (18.65062499999781 -33.30687499999608),0.12715233862400055,701,0
POINT (18.837874999997787 -33.462624999996066),0.12449963390827179,845,10
POINT (18.656124999997807 -33.98337499999601),0.16665838658809662,1435,10
POINT (18.500374999997828 -33.726624999996034),0.40242743492126465,854,0
POINT (18.432624999997834 -33.24312499999609),0.18875747919082642,793,0
POINT (18.426874999997835 -34.073624999996),0.14950276911258698,1726,10
POINT (18.82787499999779 -33.78837499999603),0.19871686398983002,1040,8
POINT (18.431124999997834 -33.42837499999607),0.16961494088172913,1040,3
POINT (18.80387499999779 -34.029374999996),0.6254315376281738,988,6
POINT (18.488874999997826 -33.61087499999605),0.8168344497680664,1230,2
POINT (18.45837499999783 -34.080624999996),0.15971297025680542,1860,10
POINT (18.608374999997814 -33.53812499999606),0.4679972529411316,1351,9
POINT (18.505624999997824 -33.570124999996054),0.09885729104280472,994,7
POINT (18.376874999997842 -34.022374999996),0.9953627586364746,2251,14
POINT (18.741124999997798 -33.29587499999609),0.12407690286636353,854,0
POINT (18.840374999997785 -33.370874999996076),0.45072245597839355,966,6
POINT (18.79187499999779 -33.63437499999605),0.20848846435546875,1142,6
POINT (18.695374999997803 -33.639874999996046),0.15386347472667694,854,0
POINT (18.427374999997834 -33.45112499999607),0.1495734304189682,966,0
POINT (18.703374999997802 -33.90337499999602),0.19831544160842896,1113,12
POINT (18.80337499999779 -33.51937499999606),0.17403040826320648,1007,0
POINT (18.631874999997812 -33.728624999996036),0.16744491457939148,1076,0
POINT (18.328124999997847 -33.388374999996074),0.1712367981672287,1338,5
POINT (18.426624999997834 -33.50887499999606),0.7992683053016663,1181,4
POINT (18.23312499999786 -33.25037499999609),0.5254757404327393,1345,0
POINT (18.49087499999783 -33.61012499999605),0.5049261450767517,980,1
POINT (18.837874999997787 -34.09412499999599),0.1674789935350418,1420,7
POINT (18.838374999997786 -33.62887499999605),0.4948694407939911,1091,4
POINT (18.769874999997793 -33.96437499999601),0.45351526141166687,1880,10
POINT (18.512374999997824 -33.645374999996044),0.12988467514514923,1014,11
POINT (18.264374999997855 -33.407874999996075),0.9915000200271606,1418,5
POINT (18.764624999997796 -33.50812499999606),0.1619299203157425,843,10
POINT (18.679374999997805 -33.389874999996074),0.16939470171928406,809,0
POINT (18.55237499999782 -33.61012499999605),0.44451624155044556,1012,5
POINT (18.841374999997786 -33.87787499999602),0.1858847737312317,1088,1
POINT (18.62712499999781 -33.2398749999961),0.12378575652837753,888,0
POINT (18.45787499999783 -33.25387499999609),0.2859080135822296,843,0
POINT (18.64712499999781 -33.334374999996086),0.12907375395298004,841,0
POINT (18.45037499999783 -33.64162499999605),0.8168344497680664,1544,6
POINT (18.420124999997835 -34.069124999996),0.14950276911258698,2326,13
POINT (18.29862499999785 -33.46462499999607),0.466728150844574,1907,7
POINT (18.701374999997803 -33.898374999996015),0.10136251896619797,757,10
POINT (18.55662499999782 -33.26587499999609),0.13096871972084045,882,0
POINT (18.54412499999782 -33.58287499999605),0.44451624155044556,1106,7
POINT (18.700374999997802 -33.567624999996056),0.4123906195163727,1050,0
POINT (18.853124999997785 -33.94962499999601),0.19611875712871552,1213,7
POINT (18.677374999997806 -33.747624999996034),0.15442991256713867,813,0
POINT (18.763374999997794 -33.84937499999602),0.4417729079723358,1078,1
POINT (18.63937499999781 -33.575124999996056),0.1883080005645752,729,0
POINT (18.769124999997796 -33.659124999996045),0.1690135896205902,956,0
POINT (18.56912499999782 -33.43562499999607),0.45392823219299316,810,0
POINT (18.47912499999783 -33.997624999996006),0.12303005903959274,1832,13
POINT (18.710124999997802 -33.61737499999605),0.15558433532714844,740,0
POINT (18.7201249999978 -33.91237499999602),0.439474493265152,1119,2
POINT (18.267624999997853 -33.322124999996085),0.15478211641311646,897,0
POINT (18.64737499999781 -33.895124999996014),0.1474948227405548,1400,12
POINT (18.595874999997815 -33.90612499999602),0.09871447831392288,481,7
POINT (18.55537499999782 -33.64637499999605),0.139764204621315,871,0
POINT (18.815624999997787 -33.238124999996096),0.1244470626115799,802,0
POINT (18.863874999997783 -33.670874999996045),0.14059092104434967,897,0
POINT (18.47562499999783 -33.69437499999604),0.7885875701904297,1802,12
POINT (18.328874999997847 -33.471124999996064),0.9915000200271606,1594,11
POINT (18.776874999997794 -33.61587499999605),0.15702110528945923,1207,2
POINT (18.28337499999785 -33.32337499999608),0.14605723321437836,750,10
POINT (18.418124999997836 -33.27437499999609),0.1264033168554306,759,0
POINT (18.504124999997824 -33.89862499999602),0.18454301357269287,1462,4
